CLUE,TITLE,FEN,SOLUTION
White to move.,"Henrique Mecking vs Antonio Rocha, Mar del Plata, 1969 ",rk5r/2p3pp/p1p5/4N3/4P3/2q4P/P4PP1/R2Q2K1 w - - 1 0,1. Rb1+ Ka7 2. Qd4+ Qxd4 3. Nxc6# 
White to move.,"Georgy Bastrikov vs Izrail Kogan, Minsk, 1971",r3kb1r/1b4p1/pq2pn1p/1N2p3/8/3B2Q1/PPP2PPP/2KRR3 w kq - 1 0,1. Bg6+ Ke7 2. Qa3+ Qd6 3. Qxd6#
White to move.,"Walter Browne vs Victor Brond, Mar del Plata, 1971",4rk2/5p1b/1p3R1K/p6p/2P2P2/1P6/2q4P/Q5R1 w - - 1 0,1. Rxf7+ Kxf7 2. Rg7+ Ke6 3. Qe5#
Black to move.,"James Harkins vs James Tarjan, Ventura, 1971 ",8/6pk/pb5p/8/1P2qP2/P3p3/2r2PNP/1QR3K1 b - - 0 1,1... exf2+ 2. Kh1 f1=Q+ 3. Rxf1 Qxg2# 
White to move.,"Paul Keres vs Hillar Karner, Parnu, 1971",2bkr3/5Q1R/p2pp1N1/1p6/8/2q3P1/P4P1K/8 w - - 1 0,1. Ne5 dxe5 2. Qf6+ Re7 3. Qxe7# 
White to move.,"Michael McSorley vs Ben Kakimi, Ventura, 1971",r1b2nrk/1p3p1p/p2p1P2/5P2/2q1P2Q/8/PpP5/1K1R3R w - - 1 0,1. Qxh7+ Nxh7 2. Rxh7+ Kxh7 3. Rh1#
Black to move.,"Robert Hartoch vs Jan-Heim Donner, Amsterdam, 1972",2r5/1Nr1kpRp/p3b3/N3p3/1P3n2/P7/5PPP/K6R b - - 0 1,1... Rc1+ 2. Rxc1 Rxc1+ 3. Kb2 Nd3#
Black to move.,"Vitaly Levchenkov vs Igor Sakovich, URS, 1972",r5k1/2p2ppp/p1P2n2/8/1pP2bbQ/1B3PP1/PP1Pq2P/RNB3K1 b - - 0 1,1... Qe1+ 2. Kg2 Bxf3+ 3. Kxf3 Qf1# 
White to move.,"William Lombardy vs Larry Kaufman, New York, 1972",1k6/b2q1r2/p2PQ1p1/4Bp1p/3P3P/6PK/6B1/8 w - - 1 0,1. Qe8+ Qxe8 2. d7+ Qxe5 3. d8=Q#
White to move.,"Gyula Sax vs Tamas Hradeczky, Budapest, 1972 ",3rn2r/3kb2p/p4ppB/1q1Pp3/8/3P1N2/1P2Q1PP/R1R4K w - - 1 0,1. Nxe5+ fxe5 2. Qg4+ Kd6 3. Qe6#
White to move.,"Vasily Smyslov vs Juan Dominguez Sanz, Las Palmas, 1972",2bqr2k/1r1n2bp/pp1pBp2/2pP1PQ1/P3PN2/1P4P1/1B5P/R3R1K1 w - - 1 0,1. Ng6+ hxg6 2. Qh4+ Bh6 3. Qxh6# 
White to move.,"Mikhail Tal vs NN, 1973",rn1q3r/pp2kppp/3Np3/2b1n3/3N2Q1/3B4/PP4PP/R1B2RK1 w - - 1 0,1. Rxf7+ Nxf7 2. Qxe6+ Kf8 3. Qxf7# 
White to move.,"David Gedult vs Tisserand, Vittel, 1974",rn2k2r/ppp1bppp/5p2/3N1b2/1q6/5p2/PPP1QPPP/2KR1B1R w kq - 1 0,1. Nxc7+ Kf8 2. Rd8+ Bxd8 3. Qe8# 
White to move.,"Michael Haygarth vs Gerald Bennett, England, 1974",4nrk1/rR5p/4pnpQ/4p1N1/2p1N3/6P1/q4P1P/4R1K1 w - - 1 0,1. Nxf6+ Rxf6 2. Qxh7+ Kf8 3. Qh8#
Black to move.,"G Lachmann vs Walther, corr., 1974",3rk2r/Qp1b1pp1/3q3p/2p5/2P1N3/P3PN2/1P3PPP/2n1KB1R b Kk - 0 1,1... Qd1+ 2. Kxd1 Ba4+ 3. Kxc1 Rd1# 
White to move.,"Eugenio Torre vs Lothar Schmid, Nice, 1974 ",r5k1/q4ppp/rnR1pb2/1Q1p4/1P1P4/P4N1P/1B3PP1/2R3K1 w - - 1 0,1. Rc8+ Rxc8 2. Rxc8+ Nxc8 3. Qe8# 
Black to move.,"Roy Ervin vs Arnold Denker, Lone Pine, 1975",6k1/5p2/p5n1/8/1p1p2P1/1Pb2B1r/P3KPN1/2RQ3q b - - 0 1,1... Nf4+ 2. Nxf4 Qxf3+ 3. Kf1 Rh1# 
White to move.,"Boris Gulko vs Borislav Ivkov, Polanica Zdroj, 1977",1r2r3/1n3Nkp/p2P2p1/3B4/1p5Q/1P5P/6P1/2b4K w - - 1 0,1. Qd4+ Re5 2. Qxe5+ Kf8 3. Qh8#
White to move.,"Nigmadzianov vs Leonid Kaplun, URS, 1977",r1n1kbr1/ppq1pN2/2p1Pn1p/2Pp3Q/3P3P/8/PP3P2/R1B1K2R w - - 1 0,1. Nd6+ Kd8 2. Qe8+ Nxe8 3. Nf7# 
White to move.,"Jan Timman vs Borislav Ivkov, Geneva, 1977",1r2bk2/1p3ppp/p1n2q2/2N5/1P6/P3R1P1/5PBP/4Q1K1 w - - 1 0,1. Rxe8+ Rxe8 2. Nd7+ Kg8 3. Qxe8# 
White to move.,Lubomir Ftacnik vs Ivan Jankovec Marianske Lazne 1978,R7/3nbpkp/4p1p1/3rP1P1/P2B1Q1P/3q1NK1/8/8 w - - 1 0,1. Qf6+ Bxf6 2. exf6+ Nxf6 3. Bxf6# 
White to move.,"Sheila Jackson vs Fenella Foster, Buenos Aires, 1978",r4k1r/p1q2P1p/1pnb2p1/2p5/8/2P1BN2/PP4PP/R2QR1K1 w - - 1 0,1. Bh6+ Kxf7 2. Qd5+ Kf6 3. Qe6#
Black to move.,"Viktor Korchnoi vs Anatoly Karpov, Baguio, 1978",8/7R/2r5/8/P3n3/8/3nk1PP/R5K1 b - - 0 1,1... Nf3+ 2. gxf3 Rg6+ 3. Kh1 Nf2# 
White to move.,"Tigran V. Petrosian vs Rudi Koepsell, Brilon, 1978",2rn2k1/1q1N1pbp/4pB1P/pp1pPn2/3P4/1Pr2N2/P2Q1P1K/6R1 w - - 1 0,1. Rxg7+ Nxg7 2. Qg5 Qxd7 3. Qxg7# 
White to move.,"Ken Rogoff vs Rosendo Balinas, Lone Pine, 1978 ",r4b1r/pp2kbp1/3R2B1/4P2p/2p2N1P/P4Pn1/1P1B2P1/R3K3 w - - 1 0,1. Nd5+ Ke8 2. Nc7+ Ke7 3. Bg5# 
Black to move.,"Milorad Knezevic vs Garry Kasparov, Banja-Luka, 1979",6k1/5pp1/8/1bBn1q1p/1P5P/5PP1/3Qp1B1/4K3 b - - 0 1,1... Qb1+ 2. Kf2 Qf1+ 3. Bxf1 exf1=Q# 
White to move.,"Leonid Shamkovich vs Roy Ervin, Lone Pine, 1979 ",5rrk/5pb1/p1pN3p/7Q/1p2PP1R/1q5P/6P1/6RK w - - 1 0,1. Qxh6+ Bxh6 2. Rxh6+ Kg7 3. Nf5# 
White to move.,"Andrew Soltis vs Miguel Quinteros, Lone Pine, 1979",5qk1/1p4b1/p1p2pQn/3p1N2/3P2P1/1PP2PK1/1P2r3/7R w - - 1 0,1. Nxh6+ Kh8 2. Nf7+ Kg8 3. Rh8# 
Black to move.,"Peter Scheeren vs Christofoor Baljon, Amsterdam, 1980",r5k1/p1p3bp/1p1p4/2PP2qp/1P6/1Q1bP3/PB3rPP/R2N2RK b - - 0 1,1... Qxg2+ 2. Rxg2 Rf1+ 3. Rg1 Be4# 
White to move.,"Lajos Portisch vs Lubomir Kavalek, Amsterdam, 1981",3q2rn/pp3rBk/1npp1p2/5P2/2PPP1RP/2P2B2/P5Q1/6RK w - - 1 0,1. Rg6 Rgf8 2. Rh6+ Kg8 3. Rxh8# 
White to move.,"Garry Kasparov vs Elmar Magerramov, USSR, 1982",3r1r1k/1p3p1p/p2p4/4n1NN/6bQ/1BPq4/P3p1PP/1R5K w - - 1 0,1. Nxf7+ Nxf7 2. Qf6+ Kg8 3. Qg7#
White to move.,"Wolfgang Unzicker vs I Husain, Lucerne, 1982 ",2r1qr1k/7p/7P/p2pPpR1/3N1P1Q/P2b4/6R1/7K w - - 1 0,1. Rg8+ Rxg8 2. Qf6+ Rg7 3. Qxg7# 
White to move.,"Daniel Campora vs Osman Palos, Tuzle, 1983",k1br4/ppQ5/8/2PB3p/7b/8/PP6/7K w - - 1 0,1. c6 b6 2. Qxc8+ Rxc8 3. c7#
White to move.,"Johann Hjartarson vs Timo Pirttimaki, Oslo, 1983",rr6/p1n4k/1p1NqBp1/2p1P2p/4P3/6R1/bP1Q2PP/4R1K1 w - - 1 0,1. Rxg6 Kxg6 2. Qg5+ Kh7 3. Qg7# 
White to move.,"Tony Miles vs Ralf Laven, Germany, 1983",3r2qk/p2Q3p/1p3R2/2pPp3/1nb5/6N1/PB4PP/1B4K1 w - - 1 0,1. Bxe5 Rxd7 2. Rf7+ Qg7 3. Rf8# 
White to move.,"Predrag Nikolic vs Ivan Farago, Sarajevo, 1983",2R5/4k1p1/nr2P2p/3PK3/4N1PP/8/1p6/8 w - - 1 0,1. d6+ Rxd6 2. Nxd6 b1=Q 3. Re8# 
White to move.,"John Nunn vs Ivan Nemet, Biel, 1983 ",r5rR/3Nkp2/4p3/1Q4q1/np1N4/8/bPPR2P1/2K5 w - - 1 0,1. Nc6+ Ke8 2. Qxg5 Rxh8 3. Qe7# 
Black to move.,"Jan Timman vs Bent Larsen, Niksic, 1983",5bk1/1Q3p2/1Np4p/6p1/8/1P2P1PK/4q2P/8 b - - 0 1,1... f5 2. Qxc6 g4+ 3. Kh4 Qxh2# 
White to move.,"Raj Tischbierek vs Endre Vegh, Budapest, 1983 ",r1b3r1/1p3p1p/1q2pQ2/1Bk5/4p3/8/P1P3PP/3R3K w - - 1 0,1. Qe5+ Kb4 2. Rb1+ Ka5 3. Qc3# 
White to move.,"Hannu Wegner vs Karsten Kuehn, BRD, 1983",2r1k2r/pR2p1bp/2n1P1p1/8/2QP4/q2b1N2/P2B1PPP/4K2R w - - 1 0,1. Qxc6+ Rxc6 2. Rb8+ Rc8 3. Rxc8# 
White to move.,"Johann Hjartarson vs John Van Der Wiel, Salonika, 1984",n7/pk3pp1/1rR3p1/QP1pq3/4n3/6PB/4PP1P/2R3K1 w - - 1 0,1. Qa6+ Rxa6 2. bxa6+ Kb8 3. Rc8# 
White to move.,"Csaba Horvath vs Ewan Stewart, Groningen, 1984",r2q1rk1/p4p1p/3p1Q2/2n3B1/B2R4/8/PP3PPP/5bK1 w - - 1 0,1. Rg4 Be2 2. Bh6+ Bxg4 3. Qg7# 
White to move.,"Hans-Helmut Moschell vs U Auerswald, DDR, 1984",r1b1nb1r/3pk1pp/p2N1pn1/Q1Bp4/8/8/PP2BP1P/2K1R3 w - - 1 0,1. Bh5+ Ne5 2. Nf5+ Ke6 3. Nd4#
White to move.,"Panayotis Pandavos vs AB Arnold, Salonika, 1984",6rk/p1pb1p1p/2pp1P2/2b1n2Q/4PR2/3B4/PPP1K2P/RNB3q1 w - - 1 0,1. Qxh7+ Kxh7 2. Rh4+ Kg6 3. Rh6# 
White to move.,"Raj Tischbierek vs Vitaly Cseshkovsky, Rostock, 1984 ",3r3k/7p/pp2B1p1/3N2P1/P2qPQ2/8/1Pr4P/5R1K w - - 1 0,1. Qf8+ Rxf8 2. Rxf8+ Kg7 3. Rg8# 
White to move.,"Dragan Vasiljevic vs Nenad Jovanovic, Belgrade, 1984",2r2bk1/pb3ppp/1p6/n7/q2P4/P1P1R2Q/B2B1PPP/R5K1 w - - 1 0,1. Bxf7+ Kh8 2. Qxh7+ Kxh7 3. Rh3# 
White to move.,"Yahuda Gruenfeld vs Mark Meeres, New York, 1985",8/1p2p1kp/2rRB3/pq2n1Pp/4P3/8/PPP2Q2/2K5 w - - 1 0,1. Qf8+ Kxf8 2. Rd8+ Kg7 3. Rg8# 
White to move.,"Walter Shipman vs Marc Weber, New York, 1985 ",r1b3r1/ppp1R2p/3p3k/1q2B1p1/5Q2/8/PPP2PPP/6K1 w - - 1 0,1. Qf6+ Rg6 2. Rxh7+ Kxh7 3. Qh8# 
White to move.,"H Strickert vs Hausius, DDR, 1985",3r3r/p1pqppbp/1kN3p1/2pnP3/Q5b1/1NP5/PP3PPP/R1B2RK1 w - - 1 0,1. Qxa7+ Kxc6 2. Na5+ Kb5 3. a4#
White to move.,"Stellan Brynell vs Lars Karlsson, Malme, 1986",r4r2/p1p4p/1p2R3/5p2/2B2K2/7k/PPP2P2/8 w - - 1 0,1. Bd5 Rf6 2. Re1 Re6 3. Rh1#
White to move.,"Maxim Dlugy vs Ricardo Calvo Minguez, London, 1986",1rb2RR1/p1p3p1/2p3k1/5p1p/8/3N1PP1/PP5r/2K5 w - - 1 0,1. Ne5+ Kh6 2. Rh8+ Kg5 3. f4# 
White to move.,"Yahuda Gruenfeld vs Samuel Reshevsky, New York, 1986",8/R4R1p/4p1p1/r3p3/1b2PnkP/6P1/5PK1/8 w - - 1 0,1. Rxf4+ exf4 2. f3+ Kh5 3. Rxh7# 
White to move.,"Slavoljub Marjanovic vs Bosko Abramovic, Zenica, 1986",3r1q1k/6bp/p1p5/1p2B1Q1/P1B5/3P4/5PPP/4R1K1 w - - 1 0,1. Bxg7+ Qxg7 2. Qxd8+ Qg8 3. Qxg8# 
White to move.,"Paul Motwani vs Kevin Wicker, Southampton, 1986 ",2k5/p1p4R/P3r1p1/2r2p2/8/1R6/8/5K2 w - - 1 0,1. Rb8+ Kxb8 2. Rh8+ Re8 3. Rxe8# 
White to move.,"Nigel Short vs Juergen Fleck, Germany, 1986 ",kr6/pR5R/1q1pp3/8/1Q6/2P5/PKP5/5r2 w - - 1 0,1. Qxb6 Rb1+ 2. Kxb1 axb6 3. Ra7# 
White to move.,"Hans Waldmann vs Udo Wallrabenstein, Leipzig, 1986",r1b2rk1/1p2nppp/p2R1b2/4qP1Q/4P3/1B2B3/PPP2P1P/2K3R1 w - - 1 0,1. Qxf7+ Kh8 2. Qxf8+ Ng8 3. Qxg8#
White to move.,"Evgeny Bareev vs Viktor Gavrikov, Minsk, 1987",7r/1Q6/pp1pkPn1/6B1/2qP2P1/3p4/P7/1K4R1 w - - 1 0,1. Re1+ Ne5 2. d5+ Qxd5 3. Qe7#
White to move.,"Nigel Davies vs Jonny Hector, Espergaerde, 1987",8/5k2/6pQ/1p5p/2pqN3/1p3P1P/1r4P1/4R2K w - - 1 0,1. Ng5+ Kf6 2. Nh7+ Kf7 3. Qf8# 
White to move.,"Gregory Kaidanov vs Viswanathan Anand, Moscow, 1987",3qrk2/p1r2pp1/1p2pb2/nP1bN2Q/3PN3/P6R/5PPP/R5K1 w - - 1 0,1. Qxf7+ Rxf7 2. Ng6+ Kg8 3. Rh8# 
White to move.,"Alexander Khalifman vs Alexander Huzman, Tashkent, 1987",3r1r1k/p4p1p/1pp2p2/2b2P1Q/3q1PR1/1PN2R1P/1P4P1/7K w - - 1 0,1. Qxh7+ Kxh7 2. Rh4+ Kg7 3. Rg3# 
White to move.,"Bent Larsen vs Jan Timman, Linares, 1987",R2Q4/6k1/3p1qp1/3n2p1/1p1r1p2/3B1P2/2P3PK/8 w - - 1 0,1. Qh8+ Kf7 2. Qg8+ Ke7 3. Qe8# 
White to move.,"John Nunn vs Miroslaw Sarwinski, Naleczow, 1987",4r2k/4R1pp/7N/p6n/qp6/6QP/5PPK/8 w - - 1 0,1. Qb3 gxh6 2. Qf7 Rxe7 3. Qf8# 
White to move.,"Nigel Short vs Jonathan Mestel, Swansea, 1987 ",4b1k1/2r2p2/1q1pnPpQ/7p/p3P2P/pN5B/P1P5/1K1R2R1 w - - 1 0,1. Rxg6+ fxg6 2. Bxe6+ Rf7 3. Qg7# 
Black to move.,"A Andreev vs Sergei Khmelnitsky, Naberezhnye Chelny, 1988",r3k2r/1ppq1ppp/1p2P3/n3Pb2/1bP2Q2/2N2N1P/PP4P1/2KR1B1R b - - 0 1,1... Nb3+ 2. axb3 Ra1+ 3. Nb1 Rxb1#
White to move.,"Jean-Marc Degraeve vs Christian Lecuyer, France, 1988",1r2nr2/2q3kp/p2pQ1pR/4n1P1/Np2P3/1B6/PPP4P/2KR4 w - - 1 0,1. Rxh7+ Kxh7 2. Qh3+ Kg7 3. Qh6# 
White to move.,"Csaba Horvath vs Peter Lukacs, Debrecen, 1988",3r4/7p/2RN2k1/4n2q/P2p4/3P2P1/4p1P1/5QK1 w - - 1 0,1. Ne8+ Rd6 2. Rxd6+ Kg5 3. Qf4# 
White to move.,"Judit Polgar vs Pavlina Angelova, Thessalonika, 1988 ",r1b2rk1/pp1p1p1p/2n3pQ/5qB1/8/2P5/P4PPP/4RRK1 w - - 1 0,1. Qxf8+ Kxf8 2. Bh6+ Kg8 3. Re8#
White to move.,"Sergey Smagin vs Henryk Dobosz, Naestved, 1988 ",r3q2k/p2n1r2/2bP1ppB/b3p2Q/N1Pp4/P5R1/5PPP/R5K1 w - - 1 0,1. Bg7+ Kxg7 2. Rxg6+ Kf8 3. Qh8# 
White to move.,"Viktor Bologan vs Darius Ruzele, Kramatorsk, 1989",6r1/pp3N1k/1q2bQpp/3pP3/8/6RP/PP3PP1/6K1 w - - 1 0,1. Rxg6 Qxf2+ 2. Kxf2 Rxg6 3. Qh8#
White to move.,"Uwe Dietzinger vs Heike Vogel, Germany 1989",r1bqn1rk/1p1np1bp/p1pp2p1/6P1/2PPP3/2N1BPN1/PP1Q4/2KR1B1R w - - 1 0,1. Rxh7+ Kxh7 2. Qh2+ Bh6 3. Qxh6# 
White to move.,"Julian Hodgson vs Colin McNab, Edinburgh, 1989",r1k2r2/p5Rp/3R4/3p3p/3B4/3B4/PP1q3P/7K w - - 1 0,1. Ba6+ Kb8 2. Rb6+ axb6 3. Be5# 
White to move.,"Judit Polgar vs H Winfridsson, Goteborg, 1989",r4r1k/1pqb1B1p/p3p2B/2bpP2Q/8/1NP5/PP4PP/5R1K w - - 1 0,1. Bg7+ Kxg7 2. Qg5+ Kh8 3. Qf6# 
White to move.,"Fran Sanchez Alvarez vs Carlos Gutierrez Canseco, Asturias, 1989",rn4k1/pp1r1pp1/1q1b4/5QN1/5N2/4P3/PP3PPP/3R1RK1 w - - 1 0,1. Qh7+ Kf8 2. Qh8+ Ke7 3. Nd5#
White to move.,"Sergey Smagin vs Jeremy Silman, Philadelphia, 1989",b4rk1/p4p2/1p4Pq/4p3/8/P1N2PQ1/BP3PK1/8 w - - 1 0,1. gxf7+ Kh7 2. Qg8+ Rxg8+ 3. fxg8=Q# 
White to move.,"J Ciprian vs Bernd Kievelitz, corr, 1990",1rb1kb1r/5pp1/p4q1p/3Q4/5P2/8/PPP3PP/2KR1B1R w k - 1 0,1. Bb5+ axb5 2. Rhe1+ Be7 3. Qd8#
White to move.,"Yudania Hernandez vs Isabel De Los Santos, Novi Sad, 1990",2q1n3/1p1bppkp/p2p2p1/3P4/P2N4/1PQ3PP/4PPB1/6K1 w - - 1 0,1. Nf5+ Kg8 2. Nh6+ Kf8 3. Qh8# 
White to move.,"Vasilios Kotronias vs Daniel King, New York, 1990",r4rk1/p4ppp/Pp4n1/4BN2/1bq5/7Q/2P2PPP/3RR1K1 w - - 1 0,1. Qh6 Qf1+ 2. Kxf1 gxh6 3. Nxh6# 
White to move.,"Luc Winants vs Norbert Stull, Lyons, 1990 ",1r3k2/3Rnp2/6p1/6q1/p1BQ1p2/P1P5/1P3PP1/6K1 w - - 1 0,1. Qh8+ Ng8 2. Rxf7+ Ke8 3. Qxg8# 
Black to move.,"Michail Brodsky vs Grigory Serper, Kherson, 1991 ",8/2Q5/2P1p2k/3p1p1p/4brq1/2R5/3R3K/8 b - - 0 1,1... Rf2+ 2. Rxf2 Qh4+ 3. Kg1 Qh1# 
Black to move.,"Juri Dovzik vs Gregory Canfell, Budapest, 1991",5rk1/pp2p2p/3p2pb/2pPn2P/2P2q2/2N4P/PP3BR1/R2BK1N1 b - - 0 1,1... Nd3+ 2. Ke2 Qd2+ 3. Kf1 Qe1# 
White to move.,"Benjamin Finegold vs E Knoppert, Antwerp, 1991",3R4/6rk/1p4p1/p2Q1p2/P1B1p2p/1n2P1P1/5PKP/2q5 w - - 1 0,1. Rh8+ Kxh8 2. Qd8+ Kh7 3. Qxh4# 
White to move.,"Thorsten Oest vs Peter Gellrich, Germany, 1991",6rk/1pqbbp1p/p3p2Q/6R1/4N1nP/3B4/PPP5/2KR4 w - - 1 0,1. Qxh7+ Kxh7 2. Nf6+ Kh8 3. Rxg8#
White to move.,"Karl Pulkkinen vs Hillar Karner, Espoo, 1991",2rb3r/3N1pk1/p2pp2p/qp2PB1Q/n2N1P2/6P1/P1P4P/1K1RR3 w - - 1 0,1. Nxe6+ Kg8 2. Qg4+ Bg5 3. Nf6#
White to move.,"Ian Rogers vs Nigel Davies, London, 1991",5q2/1ppr1br1/1p1p1knR/1N4R1/P1P1PP2/1P6/2P4Q/2K5 w - - 1 0,1. Qh4 Bg8 2. Rf5+ Ke6 3. Nd4# 
White to move.,"Valery Salov vs Alexander Beliavsky, Linares, 1991",6k1/pp1Q4/6Bb/2p1P1qP/4P3/1P1P1rPK/P7/8 w - - 1 0,1. Qh7+ Kf8 2. Qh8+ Ke7 3. Qe8# 
White to move.,"Sebastian Tudorie vs Shamir Sivakumaran, Warsaw, 1991",r1b2r2/p1q1npkB/1pn1p1p1/2ppP1N1/3P4/P1P2Q2/2P2PPP/R1B2RK1 w - - 1 0,1. Qf6+ Kh6 2. Nxe6+ Kxh7 3. Qg7#
Black to move.,"Vladislav Verdihanov vs Vladimir Savon, Moscow, 1991",4r1k1/pR3pp1/7p/3n1b1N/2pP4/2P2PQ1/3B1KPP/q7 b - - 0 1,1... Re2+ 2. Kxe2 Bd3+ 3. Kf2 Qf1# 
White to move.,"Daniel Campora vs Boris Zlotnik, Sevilla, 1992",2b2r1k/1p2R3/2n2r1p/p1P1N1p1/2B3P1/P6P/1P3R2/6K1 w - - 1 0,1. Ng6+ Rxg6 2. Rxf8+ Rg8 3. Rxg8# 
Black to move.,"Richard Finacom vs Tom Dorsch, California, 1992",1rr4k/7p/p3Qpp1/3p1P2/8/1P1q3P/PK4P1/3B3R b - - 0 1,1... Qc3+ 2. Ka3 Qc5+ 3. Kb2 Qc1# 
White to move.,"Benjamin Finegold vs Y Balashov, Cappelle, 1992 ",2q1rnk1/p4r2/1p3pp1/3P3Q/2bPp2B/2P4R/P1B3PP/4R1K1 w - - 1 0,1. Qh8+ Kxh8 2. Bxf6+ Kg8 3. Rh8# 
White to move.,"Alexander Grischuk vs G Tatarliev, Duisburg, 1992",2rr2k1/1b3p1p/1p1b2p1/p1qP3Q/3R4/1P6/PB3PPP/1B2R1K1 w - - 1 0,1. Qxh7+ Kxh7 2. Rh4+ Kg8 3. Rh8# 
White to move.,"Kaido Kulaots vs Balazs Szuk, Duisburg, 1992",r3k2r/6pp/p1b1Pp2/q1bN1Q2/8/1p6/PPP3PP/2KR1B1R w kq - 0 1,1. Nxf6+ gxf6 2. Qh5+ Ke7 3. Qf7#
White to move.,"Lembit Oll vs Vladimir Tukmakov, Moscow, 1992 ",2rk4/5R2/3pp1Q1/pb2q2N/1p2P3/8/PPr5/1K1R4 w - - 1 0,1. Rxd6+ Qxd6 2. Qf6+ Ke8 3. Ng7# 
White to move.,"Veselin Topalov vs Elizbar Ubilava, Palma de Majorca, 1992 ",r1b1r3/qp1n1pk1/2pp2p1/p3n3/N1PNP1P1/1P3P2/P6Q/1K1R1B1R w - - 1 0,1. Nf5+ gxf5 2. Qh6+ Kg8 3. Qh8# 
White to move.,"Michael Adams vs Jeroen Piket, Wijk aan Zee, 1993",8/2k2r2/pp6/2p1R1Np/6pn/8/Pr4B1/3R3K w - - 1 0,1.Ne6+ Kb8 2.Rd8+ Ka7 3.Ra8#
White to move.,"Michael Adams vs Sherhard, London, 1993",2bq1k1r/r5pp/p2b1Pn1/1p1Q4/3P4/1B6/PP3PPP/2R1R1K1 w - - 1 0,1.Qxd6+ Qxd6 2.Rxc8+ Qd8 3.Rxd8#
Black to move.,"Santiago Beltran vs Mihail Marin, Barcelona, 1993",3r2k1/5p2/2b2Bp1/7p/4p3/5PP1/P3Bq1P/Q3R2K b - - 0 1,1... exf3 2. Bf1 Qxf1+ 3. Rxf1 f2# 
White to move.,"Maya Chiburdanidze vs Bent Larsen, Vienna, 1993",1r3r1k/6p1/p6p/2bpNBP1/1p2n3/1P5Q/PBP1q2P/1K5R w - - 1 0,1. Qxh6+ gxh6 2. Nf7+ Kg8 3. Nxh6#
White to move.,"A Cubero vs Wen Yen Lin, Caceres, 1993",r5k1/pp2ppb1/3p4/q3P1QR/6b1/r2B1p2/1PP5/1K4R1 w - - 1 0,1. Qxg7+ Kxg7 2. Rxg4+ Kf8 3. Rh8#
White to move.,"Elina Danielian vs Monica Calzetta, Buenos Aires, 1993",3r4/p4Q1p/1p2P2k/2p3pq/2P2B2/1P2p2P/P5P1/6K1 w - - 1 0,1. Qf6+ Qg6 2. Bxg5+ Kh5 3. g4# 
White to move.,"Nick De Firmian vs A Caresana, Ticino, 1993",4r1k1/pp3p2/3p1P1p/3PbR2/1P1p2PQ/P2P3P/2q5/5RK1 w - - 1 0,1. Rg5+ hxg5 2. Qxg5+ Kh8 3. Qg7# 
White to move.,"Bogdan Lalic vs A Summerscale, Hastings, 1993",3Q1R2/pp4bk/6p1/6p1/2B1b1q1/P7/1P4P1/6K1 w - - 1 0,1. Rh8+ Bxh8 2. Qg8+ Kh6 3. Qxh8# 
White to move.,"Peter Leko vs Vladimir Turta, Bratislava, 1993",nr2kb1r/1p3p1p/p2p1q2/P2Pp3/2N2p2/2P3PB/1P3P1P/R2QK2R w - - 1 0,1. Qa4+ b5 2. axb6+ Ke7 3. Qd7# 
White to move.,"Zenon Franco Ocampos vs Slobodan Kovacevic, Mislata, 1993",r2r4/1b3k2/3Pq3/pBp1p2p/Pp6/6R1/1P3P2/R2Q2K1 w - - 1 0,1. Qxh5+ Kf8 2. Qh8+ Kf7 3. Qg7# 
White to move.,"Vasily Smyslov vs Lembit Oll, Rostov on Don, 1993 ",4r3/pp1nr3/2p4p/4p1b1/4kPP1/1PBN4/P1P1K3/3R4 w - - 1 0,1. Nf2+ Kxf4 2. Rg1 e4 3. Nh3# 
White to move.,"Socrates Expert vs Alexander Ivanov, Boston, 1993",3k4/1R6/3N2n1/p2Pp3/2P1N3/3n2Pp/q6P/5RK1 w - - 1 0,1. Rf8+ Nxf8 2. Nf7+ Kc8 3. Ned6# 
White to move.,"Walter Browne vs Jaime Sunye Neto, Linares, 1994",6k1/5p2/4nQ1P/p4N2/1p1b4/7K/PP3r2/8 w - - 1 0,1. h7+ Kxh7 2. Qh6+ Kg8 3. Ne7#
Black to move.,"Elena Fatalibekove vs Almira Skripchenko, Moscow, 1994 ",7k/1p6/p2p4/2pN1b2/P1P5/2N2nr1/1P6/R6K b - - 0 1,1... Bh3 2. Nf4 Bg2+ 3. Nxg2 Rh3# 
White to move.,"Igor Ivanov vs Fred Lindsay, Canada, 1994",2rr1k2/pb4p1/1p1qpp2/4R2Q/3n4/P1N5/1P3PPP/1B2R1K1 w - - 1 0,1. Qh8+ Kf7 2. Bg6+ Ke7 3. Qxg7# 
White to move.,"Aleksandar Kovacevic vs Miroslav Tosic, Kladovo, 1994",5r1k/7p/8/4NP2/8/3p2R1/2r3PP/2n1RK2 w - - 1 0,1. Nf7+ Rxf7 2. Re8+ Rf8 3. Rxf8# 
White to move.,"Michal Krasenkow vs Oleg Nikolenko, Lubniewice, 1994",r3r3/ppp4p/2bq2Nk/8/1PP5/P1B3Q1/6PP/4R1K1 w - - 1 0,1. Qh4+ Kxg6 2. Qg4+ Kh6 3. Bg7#
